Company name,Phone number,website (Homepage),Location,Company type,Company Description by Thomasnet,Company Description by the company,Linkedin URL,Annual Sales:,No of Employees:,MANUFACTURING SERVICES,ALL PRODUCTS / SERVICES
Mahr Inc.,800-343-2050,http://www.mahr.com,"Providence, RI 02905 | Locations",Manufacturer,"Manufacturer of dimensional measuring equipment including calipers, micrometers and other hand tools, dial and digital indicators and gages. Products include dimensional standards, gage calibration systems, form, surface roughness and contour metrology systems, optical and contact shaft measurement systems, and gear metrology systems, digital calipers and micrometers, dial comparators, test stands, bench micrometers, snap gages, air plugs, air rings, air forks, gage blocks, master rings and discs, gage block comparators, and systems for roundness, cylindricity, geometry, surface finish, and contour measurement. Gages include mechanical, metrology lab, height, plug, depth, boar, air, ID/OD, and electronic. Custom design, build and repair for gages, calibration and field services. Calibration system ISO-9001:2008 certified by NQA, ISO-10012-1 compliance, ISO 17025 accredited. Lab code 200605-0.","About Mahr Federal Inc. 

Mahr Federal Inc., The Application Specialist and a member of the Mahr Group, has been providing dimensional measurement solutions to fit customer application needs for over 150 years. We manufacture and market a wide variety of dimensional metrology equipment, from simple and easy-to-use handheld gages to technically advanced measurement systems for form, contour, surface finish and length. Mahr Federal is also well known as a producer of custom-designed gages and a provider of calibration and contract measurement services. Mahr is registered to ISO 9001:2008 by National Quality Assurance and accredited to ISO 17025:2005.

Mahr measuring instruments are used to measure minute length, form and surface deviations on work pieces in precision manufacturing, in mechanical, precision and optical engineering, and in science and research. Mahrs innovative measuring instruments pave the way for further technical and scientific development.

Dimensional Measuring Equipment More... we manufacture includes Calipers, Micrometers, Dial & Digital Indicators; Bore Gages, Snap Gages, ID/OD Gages, other Mechanical Gages, Plug Gages, Air Gages, and Electronic Gages; Height Gages and Dimensional Standards; Calibration Systems and Lab Gages; Form, Surface Roughness & Contour Systems, Gear and Shaft Measurement Systems; Custom Design & Build Gages; Gage Repair, Calibration, and Field Services. Less",,$100 - 249.9 Mil,1000+  Employees,"Gauges: Electronic
Gaging Systems
Gauges
Gauges: Air
Gauges: Air, Dimensional


Gauges: American Gauge Design (AGD) Standard
Gauges: Angular Measuring
Gauges: Automatic Control
Gauges: Bore
Gauges: Camshaft

View all Gages categories","All Products / Services

Analyzers
Bearings
Blocks
Bushings
Calibration Services
Calibrators
Calipers
Comparators
Dials
Electronics


Gages
Heads
Indicators
Inspection Equipment
Instruments
Levels
Maintenance and Repair Services
Measuring Equipment
Measuring Services
Micrometers

View all products / services offered"
"D.A.S. Distribution, Inc.",888-344-0111,http://www.dasdistribution.com,"East Granby, CT 06026",Manufacturer,"Light Meters, Optical Instruments, Measuring & Testing Instruments. Laser Micrometers For Dimensional Gaging. Fiberoptic & Photoelectric Sensors For Automation. Eddy Current, Capacitive & Inductive Non-Contact Gage Sensors. In-Process Surface Variation, Defect & Flaw Detection Gages",,,Under $1 Mil,1-9  Employees,"Gauges: Electronic
Gauges: Angular Measuring
Gauges: Circumference Measuring
Gauges: Continuous Process


Gauges: Custom
Gauges: Diameter
Gauges: Dimensional
Gauges: Geometry Measuring","All Products / Services

Calipers
Gages


Sensors / Detectors / Transducers"
"Stotz USA, LLC",815-242-0027,https://www.stotz-usa.com/,"Freeport, IL 61032",Manufacturer,"Pneumatic, Electronic Gages",,,Under $1 Mil,1-9  Employees,"Gauges: Electronic
Gauges: Column


Gauges: Pressure","All Products / Services

Gages


Sensors / Detectors / Transducers"
Comtorgage Corp.,401-765-0900,http://www.comtorgage.com,"Slatersville, RI 02876-0896",Manufacturer,Manufacturer Of Gages,,,$1 - 4.9 Mil,10-49  Employees,"Gauges: Electronic
Gauges: Bore
Gauges: Combined Indicating & Recording
Gauges: Comparator
Gauges: Custom


Gauges: Cylinder, Auto
Gauges: Cylindrical
Gauges: Depth
Gauges: Dial
Gauges: Dimensional

View all Gages categories","All Products / Services

Comparators


Gages"
Intra Corporation,734-326-7030,http://www.intra-corp.net/wap,"Westland, MI 48186",Manufacturer,Manufacturer Of Precision Gages; Tool Designing & Grinding Service,,,$10 - 24.9 Mil,100-199  Employees,"Gauges: Electronic
Gauges: Bore
Gauges: Camshaft
Gauges: Dimensional
Gauges: Eccentricity


Gauges: Internal
Gauges: Master
Gauges: Metric
Gauges: Precision","All Products / Services

Aligners
Gages


Research, Design and Development Services"
"Rochester Gauges, Inc.",972-241-2161,https://rochestergauges.com/,"Dallas, TX 75229 | Locations",Manufacturer,Liquid level float gages & switches.,,,$10 - 24.9 Mil,200-499  Employees,"Gauges: Electronic
Gauges
Gauges: Aircraft & Aerospace
Gauges: Alternative Fuel
Gauges: Ammonia


Gauges: Automotive
Gauges: Cryogenic
Gauges: Custom
Gauges: Dial
Gauges: Diesel Fuel

View all Gages categories","All Products / Services

Adapters
Controls and Controllers
Dials
Gages
Indicators
Instruments


Monitors
Senders
Sensors / Detectors / Transducers
Switches
Thermometers
Transmitters"
"Bidwell Industrial Group, Inc.",860-346-9283,https://www.bidwellinc.com/,"Middletown, CT 06457",Manufacturer,"Torque Multipliers, Hydraulic & Mechanical Torque Wrenches, Ultrasonic Instrumentation",,,Not Available,Not Available  Employees,"Gauges: Electronic
Gauges: Force Measuring


Gauges: Tension","All Products / Services

Assembly Machinery
Gages
Multipliers
Sensors / Detectors / Transducers
Stamps


Tensioners
Testers
Tools
Torque Wrenches
Wrenches"
Simco LTD.,810-245-0188,http://www.simcoaftermarket.com,"Lapeer, MI 48446",Custom Manufacturer,"Design, engineering and manufacturing of a wide range of specialty gauges, instrument clusters and driver information displays for automotive, commercial, military and recreational OEM manufacturers.",,,$1 - 4.9 Mil,10-49  Employees,"Gauges: Electronic
Gauges
Gauges: Automotive


Gauges: Automotive, Heavy Duty
Gauges: Custom
Gauges: Military Specification","All Products / Services

Automotive Parts
Clusters


Gages"
Dimension Controlled Specialties Corp.,231-941-9119,http://www.dimcospec.com,"Traverse City, MI 49686",Manufacturer,Manufacturer of gages.,,,Under $1 Mil,1-9  Employees,"Gauges: Electronic
Gauges


Gauges: Plug & Ring","All Products / Services

Gages"
Davis Instruments,888-627-3370,http://www.davis.com,"Tulsa, OK 74146 | Locations",Distributor,"Distributor of test equipment & controls including oscilloscopes, spectrum analyzers, function generators, power supplies, signal generators, meters, power meters, DMMs, clamp meters, probes, pressure transducers.",,,Not Available,Not Available  Employees,"Gauges: Electronic
Gauges
Gauges: Absolute Pressure
Gauges: Air
Gauges: Air Filter


Gauges: Air Flow
Gauges: Air Pressure
Gauges: Alarm
Gauges: Altitude
Gauges: Ammonia

View all Gages categories","All Products / Services

Accelerometers
Adapters
Adjusters
Air Quality Systems
Alarms
Altimeters
Ammeters
Amplifiers
Analyzers
Anemometers


Autodialers
Automation Services
Balancers
Balances
Barometers
Baths
Batteries
Blocks
Books
Borescopes

View all products / services offered"
"Landau Gage, Inc.",519-944-6363,https://www.landaugage.com/,"Windsor, ON N8T3G7",Custom Manufacturer,"ISO 9001:2000 design & manufacturer of  gages. Types of gages include bore, concentricity, dial, dimensional, electronic, go/no-go, hole location, indicating, measuring, precision & ring.  For the pneumatic, electronic, mehcanical & vision markets.",,,$1 - 4.9 Mil,10-49  Employees,"Gauges: Electronic
Gauges
Gauges: Air
Gauges: Bore
Gauges: Concentricity


Gauges: Custom
Gauges: Dial
Gauges: Dimensional
Gauges: Go/No-Go
Gauges: Hole Location

View all Gages categories","All Products / Services

Gages


Measuring Equipment"
Ballard Supply Corporation,888-972-2430,http://www.ballardsupply.com,"Salt Lake City, UT 84119",Distributor,Stocking distributor of electronic parts & accessories. Research assistance on electronic parts & accessories.  Serving the industrial & government markets.,,,$1 - 4.9 Mil,10-49  Employees,Gauges: Electronic,"All Products / Services

Amplifiers
Antennas
Calipers
Connectors
Controls and Controllers
Electric Wire, Cable and Cable Assemblies
Electronic Components
Enclosures


Fuses
Gages
Hardware
Microwave Equipment
Power Supplies
Resistors
Towers
Transformers"
"Precision Devices, Inc.",800-316-3812,https://www.predev.com/,"Milan, MI 48160",Manufacturer,Precision & Surface Gages,,,$10 - 24.9 Mil,10-49  Employees,"Gauges: Electronic
Gauges: Bore
Gauges: Comparator
Gauges: Concentricity
Gauges: Custom


Gauges: Cylindrical
Gauges: Dial
Gauges: Eccentricity
Gauges: Gear Tooth
Gauges: Geometry Measuring

View all Gages categories","All Products / Services

Analyzers
Arbors
Calibration Services
Chucks and Collets
Gages
Inspection Equipment


Instruments
Maintenance and Repair Services
Measuring Equipment
Metrology Equipment
Profilers
Testers"
Fisk Tool Co.,828-684-5454,/vlink.html,"Arden, NC 28704",Manufacturer,Manufacturer Of Tools & Dies,,,Not Available,10-49  Employees,"Gauges: Electronic
Gauges: Automatic Control
Gauges: Camshaft
Gauges: Concentricity
Gauges: Continuous Process


Gauges: Custom
Gauges: Cylindrical
Gauges: External
Gauges: Grinding
Gauges: Precision","All Products / Services

Gages


Tool and Die Services"
"Elm Systems, Inc.",847-526-5003,/vlink.html,"Wauconda, IL 60084",Manufacturer,"Coordinate Measuring Layout Machines, Encoders, Digital Height Gages, Digital Readout Systems",,,$1 - 4.9 Mil,10-49  Employees,"Gauges: Electronic
Gauges: Angular Measuring


Gauges: Measuring","All Products / Services

CMM Machinery
Controls and Controllers
Encoders


Gages
Measuring Equipment
Readout Systems"
"Gages Of Lexington, Inc.",800-890-5042,/vlink.html,"Lexington, KY 40502",Service Company,"Consultants For Sales, Service & Set-Up Of Inspection Equipment. Distributors Of Variable & Attribute Gaging Systems. Hand Held, Bench Fixtures, Post Process & In Process Floor Inspections. Specializing In Air, Computer, Design & Build Specials. Indicator Gages",,,Not Available,1-9  Employees,"Gauges: Electronic
Gauges
Gauges: Air Flow
Gauges: Air, Dimensional
Gauges: Angular Measuring


Gauges: Automotive
Gauges: Bore
Gauges: Camshaft
Gauges: Carbide
Gauges: Chamfer

View all Gages categories","All Products / Services

Gages"
X-Ray Gauges,203-729-3400,/vlink.html,"Pawtucket, RI 02860",Manufacturer,Manufacturer of thickness gages.,,,Not Available,Not Available  Employees,"Gauges: Electronic
Gauges: Automatic Control
Gauges: Custom


Gauges: Rolling Mill
Gauges: Thickness","All Products / Services

Gages
Imaging Equipment
Measuring Equipment


Radiography Services
Testers
X-Ray Equipment"
Comtec Inc.,330-425-8102,/vlink.html,"Twinsburg, OH 44087-2269",Manufacturer,"Computer systems, statistical process control computers, precision gaging.",,,$1 - 4.9 Mil,10-49  Employees,"Gauges: Electronic
Gauges: Automatic Control
Gauges: Custom


Gauges: Force Measuring
Gauges: Precision","All Products / Services

Assemblies
Controls and Controllers
Data Acquisition Systems
Gages
Information Systems
Instruments


Manufacturing Services
Manufacturing Systems
Measuring Equipment
Panels
Research, Design and Development Services"
Apollo Products Inc.,888-800-8380,/vlink.html,"Willoughby, OH 44094",Manufacturer,"Serves The Aerospace & Casting Industry. CAD Design, Utilizing 3-D Software. Precision Machining With Closely Held Tolerances",,,Not Available,10-49  Employees,"Gauges: Electronic
Gauges
Gauges: Airfoil
Gauges: Automotive
Gauges: Contour


Gauges: Custom
Gauges: Dimensional
Gauges: Machinists'
Gauges: Precision","All Products / Services

COVID-19 Response
Fixtures
Gages


Medical Components
Tier 2 Medical Mfg. Supplies, Materials, Components & Services
Tools"
Bobier Metrology Solutions,810-732-4030,/vlink.html,"Flint, MI 48532",Distributor,"Manufacturer and distributor of metrology equipment. Products include precision hand tools, CMM's, optical comparators, vision systems and force gages. Additional services include calibration and metrology consulting services.",,,$5 - 9.9 Mil,10-49  Employees,"Gauges: Electronic
Gauges
Gauges: American Gauge Design (AGD) Standard
Gauges: AMETEK
Gauges: Angular Measuring


Gauges: Bore
Gauges: Comparator
Gauges: Coordinate Measuring
Gauges: Cylindrical
Gauges: Depth

View all Gages categories","All Products / Services

Adapters
Aggregates
Blocks
Boring Machinery
Calibration Services
Calibrators
Calipers
Cameras
Carbide Cutting Tools
Charts


CMM Machinery
Comparators
Controls and Controllers
Dials
Dividers
Drafting Equipment
Flats
Gages
Gears
Granite

View all products / services offered"
